[16:42] Page: login | IP: ::1 | Input: {"username":"sadwq","password":"asdwq","remember":false}
[16:59] Page: login | IP: ::1 | Input: {"username":"zadnjaprovericaaaa","password":"zadnjaprovericaaaa<>","remember":false}
[16:59] Page: login | IP: ::1 | Input: {"username":"zadnjaprovericaaaa","password":"zadnjaprovericaaaa","remember":false}
[16:59] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[16:59] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[17:16] Page: GET_category | IP: ::1 | Input: {"category":"Politics"}
[17:16] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[17:16] Page: comment_store | IP: ::1 | Input: {"comment":"sadqwdsaw"}
[17:17] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[17:17] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[17:17] Page: comment_store | IP: ::1 | Input: {"comment":"sadwqd"}
[17:18] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:19] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[17:19] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:20] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:21] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[17:21] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:23] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:26] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[17:26] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[17:29] Page: register | IP: ::1 | Input: {"username":"sadwq","password":"sadwq","cPassword":"asdwqd","email":"12312@gmail.com","first_name":"asd","last_name":"sadwqasd","country":"Switzerland","city":"sadwq","date_of_birth":""}
